NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
"NEW ULM 0.8 NW, MN US",2011,,,,,,,2.12,,,24.66,,,,
"NEW ULM 0.8 NW, MN US",2012,,,,,,,2.77,,,26.71,,,,
"NEW ULM 0.8 NW, MN US",2013,,,,,,,2.08,,,30.77,,,,
"NEW ULM 0.8 NW, MN US",2014,,,,,,,3.72,,,37.01,,,,
"NEW ULM 0.8 NW, MN US",2015,,,,,,,4.22,,,40.38,,,,
"NEW ULM 0.8 NW, MN US",2016,,,,,,,3.54,,,45.49,,,,
"NEW ULM 0.8 NW, MN US",2017,,,,,,,3.3,,,34.02,,,,
"NEW ULM 0.8 NW, MN US",2018,,,,,,,2.61,,,47.12,,,,
"MORGAN, MN US",2005,,,11,,,7,,,,,35.6,,,
"MORGAN, MN US",2006,,,5,,,6,,,,,15.3,,,
"MORGAN, MN US",2007,,,11,,,8,4.8,,,34.64,43.6,,,
"MORGAN, MN US",2008,,112,19,,12,6,1.65,,,27.43,43.9,,,
"MORGAN, MN US",2009,,93,20,,25,7,2.1,,,26.58,58.5,,,
"MORGAN, MN US",2010,,114,20,,24,11,2.75,,,42.39,69,,,
"SPRINGFIELD 1.7 NNW, MN US",2016,,,,,,,2.72,,,39.65,,,,
"SPRINGFIELD 1.7 NNW, MN US",2017,,,,,,,3.56,,,33.78,,,,
"SPRINGFIELD 1.7 NNW, MN US",2018,,,,,,,2.29,,,39.7,,,,
"VESTA, MN US",1970,,119,14,,16,8,1.66,,,30.06,38.5,,,
"VESTA, MN US",1971,,109,16,,12,10,1.48,,,22.25,39.4,,,
"VESTA, MN US",1972,,84,15,,12,4,2.14,,,26.61,30.7,,,
"VESTA, MN US",1973,,43,10,,10,4,6.13,,,23.74,22.5,,,
"VESTA, MN US",1974,,62,7,,9,3,1.62,,,19.43,16,,,
"VESTA, MN US",1975,,,,,,,2.01,,,22.62,,,,
"VESTA, MN US",1976,,,,,,,1.72,,,11.7,,,,
"VESTA, MN US",1977,,,16,,,9.2,2.31,,,37.19,60.9,,,
"VESTA, MN US",1978,,,,,,,2.51,,,23.44,,,,
"VESTA, MN US",1979,,,19,,,7.8,2.64,,,37.31,69.4,,,
"VESTA, MN US",1980,,,,,,,1.75,,,22.19,,,,
"VESTA, MN US",1981,,,,,,,1.79,,,28.5,,,,
"VESTA, MN US",1982,,,,,,,3.51,,,36.69,,,,
"VESTA, MN US",1983,,,,,,,2.9,,,27,,,,
"VESTA, MN US",1984,,,,,,,1.91,,,30.59,,,,
"VESTA, MN US",1985,,,16,,,11,3.25,,,35.74,68.7,,,
"VESTA, MN US",1987,,,6,,,8,1.83,,,22.98,20.5,,,
"VESTA, MN US",1989,,,,,,,2.47,,,22.17,,,,
"VESTA, MN US",1990,,,7,,,4.5,3.4,,,30.04,19.4,,,
"VESTA, MN US",1991,,,10,,,10,2.85,,,44.19,37.3,,,
"VESTA, MN US",1992,,,14,,,4.8,,,,,29.6,,,
"VESTA, MN US",1998,,,15,,,4.5,1.7,,,26.76,34,,,
"VESTA, MN US",1999,,,12,,,8,3.25,,,21.22,34.4,,,
"VESTA, MN US",2000,,,12,,,8,3.5,,,29.13,42,,,
"VESTA, MN US",2001,,,7,,,8,3,,,29.54,22,,,
"VESTA, MN US",2002,,,11,,,4,2.93,,,25.99,31.5,,,
"VESTA, MN US",2004,,,,,,,2.9,,,27.01,,,,
"VESTA, MN US",2005,,,11,,,8,,,,,31.9,,,
"VESTA, MN US",2007,,,12,,,14,4.25,,,29.14,50.6,,,
"VESTA, MN US",2008,,,18,,,6,1.54,,,24.9,45.6,,,
"VESTA, MN US",2009,,,17,,,6,1.64,,,25.62,59,,,
"VESTA, MN US",2010,,,14,,,9,2.5,,,35.98,61,,,
"VESTA, MN US",2011,,,,,,,2.16,,,23.03,,,,
"VESTA, MN US",2012,,,,,,,2.88,,,25.48,,,,
"VESTA, MN US",2013,,,,,,,1.6,,,23.44,,,,
"VESTA, MN US",2014,,,,,,,3.71,,,25.83,,,,
"VESTA, MN US",2015,,,10,,,6,2.48,,,27.61,32.6,,,
"VESTA, MN US",2016,,,15,,,8,2.89,,,33.61,39,,,
"VESTA, MN US",2017,,,9,,,8,3.98,,,30.11,25.9,,,
"LUCAN 0.2 ESE, MN US",2016,,,,,,,3.82,,,36.94,,,,
"REDWOOD FALLS, MN US",1988,,,,,,,1.78,,,17.37,,,,
"REDWOOD FALLS, MN US",1991,,,,,,,3.15,,,40.63,,,,
"REDWOOD FALLS, MN US",1992,,,3,,,4,2.07,,,27.81,8,,,
"REDWOOD FALLS, MN US",1993,,,11,,,7,5.32,,,41.26,36,,,
"REDWOOD FALLS, MN US",1994,,,6,,,7,,,,,19,,,
"REDWOOD FALLS, MN US",1997,,,9,,,4,3.16,,,19.72,20,,,
"REDWOOD FALLS, MN US",1998,,,10,,,3,1.8,,,26.93,15.9,,,
"REDWOOD FALLS, MN US",1999,,,9,,,7,2.8,,,25.7,26,,,
"REDWOOD FALLS, MN US",2003,,,17,,,6,,,,,48.9,,,
"REDWOOD FALLS, MN US",2004,,,11,,,4,3.94,,,34.94,21.4,,,
"REDWOOD FALLS, MN US",2006,,,4,,,5,,,,,12.5,,,
"REDWOOD FALLS, MN US",2007,,95,13,,19,11,5.3,,,31.74,45.3,,,
"REDWOOD FALLS, MN US",2008,,115,22,,12,5.3,1.58,,,28.13,52.2,,,
"REDWOOD FALLS, MN US",2009,504,93,18,-25,17,7.4,1.61,99,,26.74,53.2,43.8,54.5,33.1
"REDWOOD FALLS, MN US",2010,779,106,18,-28,21,8.2,2.81,96,7793,38.74,56.7,45.4,56,34.8
"REDWOOD FALLS, MN US",2011,843,,,-22,,,2.08,100,8526,27.99,,45.2,55.8,34.5
"REDWOOD FALLS, MN US",2012,921,45,12,-12,13,6.5,3.06,100,6302,28.22,33.4,48.8,60.2,37.5
"REDWOOD FALLS, MN US",2013,682,131,21,-18,14,8,1.72,96,8702,24.39,69,42.1,52.3,31.9
"REDWOOD FALLS, MN US",2014,540,123,20,-23,17,8.5,5.1,91,9048,29.1,56.7,41.9,52.3,31.6
"REDWOOD FALLS, MN US",2015,622,66,15,-14,9,8.6,1.73,96,8031,26.45,40.5,46.4,57,35.9
"REDWOOD FALLS, MN US",2016,624,92,13,-26,12,12.1,4.95,96,6846,44.12,46.4,47.3,57.3,37.3
"REDWOOD FALLS, MN US",2017,,63,9,,10,9.8,8.12,,7068,37.46,27.8,,,
"REDWOOD FALLS, MN US",2018,762,105,18,-23,16,13.5,5.25,97,,45.11,74.1,43,52.6,33.5
"REDWOOD FALLS, MN US",2019,,,,,,,,,8945,,,,,
"SPRINGFIELD 1 NW, MN US",1970,899,122,15,-32,18,8,1.8,101,8343,28.77,49.6,44,55,33
"SPRINGFIELD 1 NW, MN US",1971,645,108,18,-21,14,10,1.9,98,8158,27.97,55.6,44.7,55.6,33.7
"SPRINGFIELD 1 NW, MN US",1972,625,91,18,-31,11,6,1.64,97,8338,26.49,53,42.7,52.9,32.5
"SPRINGFIELD 1 NW, MN US",1973,611,37,12,-25,8,6,1.64,100,7847,21.64,30.4,46,56.7,35.4
"SPRINGFIELD 1 NW, MN US",1974,578,89,10,-31,8,8,1.02,102,8067,18.08,28.3,43.8,55.2,32.3
"SPRINGFIELD 1 NW, MN US",1975,678,140,26,-20,20,18,1.96,97,8550,22.7,78.2,43.2,53.8,32.6
"SPRINGFIELD 1 NW, MN US",1976,782,64,8,-22,7,5.5,1.35,103,7721,13.2,27.6,44.3,56.7,31.9
"SPRINGFIELD 1 NW, MN US",1977,615,53,16,-28,12,12.5,4,96,8189,35.94,46.5,44.9,55.6,34.1
"SPRINGFIELD 1 NW, MN US",1978,696,124,22,-26,8,7,1.4,98,8853,23.06,50.1,42.3,53.1,31.6
"SPRINGFIELD 1 NW, MN US",1979,513,104,17,-27,20,7,1.95,104,9528,33.34,50.9,40.8,50.8,30.7
"SPRINGFIELD 1 NW, MN US",1980,675,,10,-12,,4.5,2.28,99,8025,17.65,23.7,44.7,56.1,33.3
"SPRINGFIELD 1 NW, MN US",1981,532,60,10,-25,9,10,1.9,95,7295,25.8,35.5,45.9,57.6,34.2
"SPRINGFIELD 1 NW, MN US",1982,516,88,15,-27,15,15,1.57,99,8740,29.31,54.9,42.7,52.8,32.6
"SPRINGFIELD 1 NW, MN US",1983,931,119,23,-32,14,13.5,1.98,97,7832,28.39,79.3,44,53.6,34.4
"SPRINGFIELD 1 NW, MN US",1984,605,95,14,-26,15,7.5,1.55,96,8604,32.28,50.2,44.2,54.5,33.9
"SPRINGFIELD 1 NW, MN US",1985,447,82,20,-25,16,13,2.01,101,7741,31.87,64.1,42.2,52.8,31.5
"SPRINGFIELD 1 NW, MN US",1986,565,80,10,-22,10,5.5,2.6,96,8664,34.42,28.6,44.9,55,34.9
"SPRINGFIELD 1 NW, MN US",1987,817,19,4,-16,8,8.5,2.5,99,6826,21.77,21.6,48.9,60.5,37.3
"SPRINGFIELD 1 NW, MN US",1988,983,,,-29,,,1.07,105,7985,15.76,,45.2,57.7,32.8
"SPRINGFIELD 1 NW, MN US",1989,701,46,15,-24,12,6.5,1.87,103,8187,19.61,41.7,43.2,55.1,31.2
"SPRINGFIELD 1 NW, MN US",1990,664,32,6,-23,6,7.5,2.68,102,7762,28.78,27.9,46.2,58.2,34.3
"SPRINGFIELD 1 NW, MN US",1991,804,91,12,-15,12,14,2.59,97,7781,35.72,57,45.1,55.4,34.8
"SPRINGFIELD 1 NW, MN US",1992,288,77,13,-15,5,5,2.79,91,7731,28.85,32.9,44.2,54,34.4
"SPRINGFIELD 1 NW, MN US",1993,381,117,13,-27,8,9,3.06,90,8773,38.7,41.4,41.8,51.3,32.3
"SPRINGFIELD 1 NW, MN US",1994,520,92,16,-27,13,8,3.71,95,8707,28.37,53.6,44,54.6,33.3
"SPRINGFIELD 1 NW, MN US",1995,713,44,15,-12,9,7,2.01,100,7696,36,42.4,43.8,53.8,33.9
"SPRINGFIELD 1 NW, MN US",1996,477,107,19,-29,14,12,2.7,97,8995,31.45,58.2,40.7,50.9,30.6
"SPRINGFIELD 1 NW, MN US",1997,564,101,15,-16,12,3,1.9,94,8932,21.25,29.7,43.5,53.7,33.3
"SPRINGFIELD 1 NW, MN US",1998,683,,12,-16,,4,1.95,100,7453,27.84,28.9,47.4,57.8,37
"SPRINGFIELD 1 NW, MN US",1999,652,53,11,-22,7,7,2.2,97,7217,21.49,37.1,46.7,58,35.3
"SPRINGFIELD 1 NW, MN US",2000,463,86,15,-20,9,6,3.51,101,7103,28.19,49.6,44.3,55.7,32.9
"SPRINGFIELD 1 NW, MN US",2001,679,111,11,-19,15,10,3.52,99,8836,35.4,43.1,45.3,55.9,34.6
"SPRINGFIELD 1 NW, MN US",2002,810,33,10,-5,6,7,2.31,98,7311,26.76,30,45.5,56.1,34.9
"SPRINGFIELD 1 NW, MN US",2003,592,53,13,-16,8,5.5,1.07,97,8204,20.19,45.7,44.1,55.6,32.5
"SPRINGFIELD 1 NW, MN US",2004,405,45,8,-21,9,6,1.87,98,7975,28.3,21.1,44.9,56,33.9
"SPRINGFIELD 1 NW, MN US",2005,721,46,14,-19,8,7,2.3,95,7431,32.92,39.8,46.1,56.8,35.4
"SPRINGFIELD 1 NW, MN US",2006,723,,,-13,,,3.39,99,7359,27.13,,46.8,57.5,36
"SPRINGFIELD 1 NW, MN US",2007,693,75,11,-17,12,12,3.23,94,7661,30.79,46.9,45.3,56.1,34.4
"SPRINGFIELD 1 NW, MN US",2008,411,87,16,-21,6,4,1.53,94,8534,24.62,37.4,42.1,53.2,30.9
"SPRINGFIELD 1 NW, MN US",2009,298,80,18,-29,16,10.5,1.97,96,8589,27.03,59.4,42.3,53.1,31.6
"SPRINGFIELD 1 NW, MN US",2010,659,107,16,-31,20,7,4,97,8221,35.8,44.3,44.1,54.7,33.5
"SPRINGFIELD 1 NW, MN US",2011,698,,,-25,,,2.29,98,8731,24.18,,44,54.7,33.3
"SPRINGFIELD 1 NW, MN US",2012,831,,,-15,,,2.4,98,6581,24.98,,48.1,59.9,36.4
"SPRINGFIELD 1 NW, MN US",2013,560,,,-19,,,1.66,99,8672,20.94,,41.9,52.3,31.5
"SPRINGFIELD 1 NW, MN US",2014,,,,,,,,,8986,,,,,
"FAIRMONT RADIO KSUM, MN US",1970,,,,,,,,,7890,,,,,
"FAIRMONT RADIO KSUM, MN US",1972,689,,,-27,,,6,93,,31.24,,43.9,52.8,35
"ST. JAMES WWTP, MN US",1970,910,118,17,-30,23,5,2.5,100,8176,30.43,38.4,44.7,55.2,34.1
"ST. JAMES WWTP, MN US",1971,717,122,16,-18,15,6,2,97,7970,24.85,42,45.6,56,35.1
"ST. JAMES WWTP, MN US",1972,663,104,17,-27,16,5,1.26,96,8073,25.49,37.2,43.4,53.3,33.5
"ST. JAMES WWTP, MN US",1973,775,64,11,-20,12,5,2.97,98,7534,24.52,30,47.8,57.7,37.9
"ST. JAMES WWTP, MN US",1974,658,84,,-29,13,,1.75,99,7459,22.31,,46.1,56.9,35.4
"ST. JAMES WWTP, MN US",1975,832,129,26,-17,20,4,2.28,96,7931,26.33,56.5,45.5,55.8,35.2
"ST. JAMES WWTP, MN US",1976,912,72,16,-21,7,5,1.96,101,6826,15.87,27.4,47,58.9,35.1
"ST. JAMES WWTP, MN US",1977,761,73,13,-27,9,5,3.27,97,7495,37.56,33.9,46.7,57.7,35.7
"ST. JAMES WWTP, MN US",1978,748,124,17,-20,19,5,1.26,97,8440,22.12,41.3,43.8,55.2,32.4
"ST. JAMES WWTP, MN US",1979,554,104,20,-27,44,9,2.33,100,9147,34.49,56.1,42,53,31
"ST. JAMES WWTP, MN US",1980,743,50,10,-14,5,5,2.7,97,7671,21.09,27.6,46,58.3,33.6
"ST. JAMES WWTP, MN US",1981,,,,,,,,,6926,,,,,
"ST. JAMES WWTP, MN US",1982,,81,18,,31,11.5,2.32,98,,30.69,53.9,,54.9,
"ST. JAMES WWTP, MN US",1983,1065,117,20,-27,26,10,1.75,100,7197,27.07,74,46.3,55.6,37
"ST. JAMES WWTP, MN US",1984,,,18,,,9,1.84,,8022,26.37,52.6,,,
"ST. JAMES WWTP, MN US",1985,,,11,-24,,10,2.15,,,32.05,51.2,,,32.9
"ST. JAMES WWTP, MN US",1988,,,,-28,,,,,,,,,,35.5
"ST. JAMES WWTP, MN US",1990,750,,7,-21,,7,,102,7330,,25.8,47.2,58.6,35.9
"ST. JAMES WWTP, MN US",1991,884,,15,-12,,13,,99,7296,,51.5,45.7,55.4,35.9
"ST. JAMES WWTP, MN US",1992,301,,12,-14,,4.5,,91,7333,,33.9,45,54,35.9
"ST. JAMES WWTP, MN US",1993,388,,,-20,,,,91,8113,,,42.4,51.5,33.4
"ST. JAMES WWTP, MN US",1994,539,,,-25,,,,94,7760,,,44.5,54.4,34.6
"ST. JAMES WWTP, MN US",1995,,,,,,,,,7639,,,,,
"ST. JAMES WWTP, MN US",1996,490,,,-30,,,,96,,,,41.3,50.9,31.6
"ST. JAMES WWTP, MN US",1997,537,,,-17,,,,92,8284,,,44.1,54,34.2
"ST. JAMES WWTP, MN US",1998,,,12,,,4.5,,96,7096,,25.7,,57.4,
"ST. JAMES WWTP, MN US",1999,,,17,,,9,,98,,,50.6,,57.5,
"ST. JAMES WWTP, MN US",2000,558,,27,-18,,8,,98,6585,,76.5,45.1,55.3,34.8
"ST. JAMES WWTP, MN US",2001,,,14,,,7,,97,8649,,41.8,,55.3,
"ST. JAMES WWTP, MN US",2002,,,19,,,5.5,,99,,,44.8,,54.6,
"ST. JAMES WWTP, MN US",2003,511,,20,-14,,8.5,,95,,,59.5,44.3,54.8,33.8
"ST. JAMES WWTP, MN US",2004,291,,11,-21,,8.8,,95,7570,,40.1,44.4,54.3,34.4
"ST. JAMES WWTP, MN US",2009,385,,,-23,,,2.7,96,8307,24.61,,43.2,53.1,33.3
"ST. JAMES WWTP, MN US",2010,,,17,,,9.5,7.5,,8028,42.74,60.2,,,
"ST. JAMES WWTP, MN US",2011,837,,,-20,,,1.85,101,,22.77,,45.7,55.5,35.8
"ST. JAMES WWTP, MN US",2012,1076,,10,-15,,3.5,3.01,99,5912,24.44,21.5,50.5,61.6,39.5
"ST. JAMES WWTP, MN US",2013,794,,15,-16,,7,1.77,102,7902,30.53,51.2,44.1,54.1,34.1
"ST. JAMES WWTP, MN US",2014,553,,16,-21,,8,4.15,90,8649,29.49,49.9,42.6,52.5,32.6
"ST. JAMES WWTP, MN US",2015,612,,14,-16,,10,2.06,94,7886,31.22,38.5,46.7,56.7,36.7
"ST. JAMES WWTP, MN US",2016,935,,11,-23,,12,3.3,97,6898,52.63,37.7,48.5,57.9,39.1
"ST. JAMES WWTP, MN US",2017,590,,9,-19,,10,1.44,95,6762,28.46,32,46.9,56.8,37
"ST. JAMES WWTP, MN US",2018,842,,25,-20,,15,2.6,101,8369,48.44,105.6,43.4,52.4,34.5
"ST. JAMES WWTP, MN US",2019,,,,,,,,,8671,,,,,
"COMFREY 4 E, MN US",1971,,,,,,,2.35,,,22.01,,,,
"SHERBURN 3 WSW, MN US",2010,691,,15,-30,,8,3.76,93,7901,37.71,41.4,45.3,55.9,34.7
"SHERBURN 3 WSW, MN US",2011,720,,,-18,,,2.3,99,8239,25.47,,45.1,55.5,34.6
"SHERBURN 3 WSW, MN US",2012,846,46,12,-14,6,4,2.33,98,6437,27.93,26.9,48.9,60.4,37.5
"SHERBURN 3 WSW, MN US",2013,689,,,-14,,,2.12,103,8268,24.31,,43.2,53.4,32.9
"SHERBURN 3 WSW, MN US",2014,461,90,16,-22,7,4,2.4,90,8827,28.02,35.5,42.4,52.7,32.1
"SHERBURN 3 WSW, MN US",2015,555,47,12,-14,10,7,1.69,96,7818,30.16,35.5,46.4,56.9,36
"SHERBURN 3 WSW, MN US",2016,670,90,11,-29,11,7,4.18,97,7004,40.83,33.5,47.4,57.5,37.3
"SHERBURN 3 WSW, MN US",2017,562,,5,-20,,8,1.56,92,6930,25.46,22,46.6,56.8,36.3
"SHERBURN 3 WSW, MN US",2018,791,,23,-21,,12,3.91,98,8363,44.15,85.6,43.5,52.8,34.1
"SHERBURN 3 WSW, MN US",2019,,,,,,,,,8696,,,,,
"FAIRMONT 0.7 E, MN US",2017,,,,,,,2.07,,,31.94,,,,
"FAIRMONT 0.7 E, MN US",2018,,,,,,,4.01,,,47.31,,,,
"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1970,734,,,-34,,,1.65,100,8592,25.31,,42.1,53,31.3
"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1971,527,106,15,-19,14,14,2.92,98,8639,24.73,43.4,43.1,54,32.1
"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1972,564,100,17,-31,13,6,1.5,95,8798,29.11,42.4,41.5,51.5,31.6
"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1973,685,53,12,-26,11,5,1.29,100,7968,20.28,25.2,46.3,56.5,36.1
"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1974,608,75,9,-31,11,6,1.74,100,7987,18.49,20.2,44.4,55.5,33.3
"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1975,742,,23,-18,,5,1.95,98,8274,23.35,70.1,43.8,54.1,33.4
"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1976,876,68,9,-24,9,8.5,1.43,105,7585,12.48,30.8,44.6,57.2,32.1
"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1977,633,83,11,-28,16,10,3.79,97,8270,33.92,34.9,45,55.7,34.3
"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1978,693,112,19,-24,10,6,1.41,99,8906,20.34,36.2,42.4,53.3,31.6
"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1979,513,101,20,-29,21,5,2.4,106,9472,31.77,49.4,41,51.2,30.7
"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1980,666,,,-13,,,3.42,99,7810,19.26,,44.8,55.9,33.6
"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1981,541,65,12,-24,12,10,1.82,98,7260,22.03,30.9,46.1,57.8,34.3
"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1982,501,82,17,-28,17,12,2.51,98,8518,32.42,48.8,42.7,52.8,32.6
"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1983,944,110,25,-31,19,10,2.34,97,7619,26.83,77.6,44.2,53.8,34.6
"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1984,,96,13,,21,9.6,1.77,97,8411,32.37,50.9,,54.9,
"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1985,396,106,18,-25,15,14,2.6,101,,34.25,49.4,42,53.4,30.5
"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1986,,73,11,,10,5,2.6,97,,37.85,27.5,,55.9,
"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1987,,32,5,,10,7.5,1.5,100,,21.67,24.1,,61.1,
"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1988,,79,16,,19,11,1.8,106,,17.6,44,,58,
