Year,Period,Week Ending,Geo Level,State,State ANSI,Commodity,Data Item,Value
2019,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,310,000"
2019,YEAR - AUG FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,400,000"
2019,YEAR - JUN ACREAGE,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,500,000"
2019,YEAR - NOV FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,310,000"
2019,YEAR - OCT FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,310,000"
2019,YEAR - SEP FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,400,000"
2018,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,490,000"
2018,YEAR - AUG FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,400,000"
2018,YEAR - JUN ACREAGE,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,400,000"
2018,YEAR - NOV FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,450,000"
2018,YEAR - OCT FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,450,000"
2018,YEAR - SEP FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,400,000"
2017,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,630,000"
2017,YEAR - AUG FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,550,000"
2017,YEAR - JUN ACREAGE,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,550,000"
2017,YEAR - NOV FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,650,000"
2017,YEAR - OCT FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,650,000"
2017,YEAR - SEP FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,550,000"
2016,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,000,000"
2016,YEAR - AUG FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,000,000"
2016,YEAR - JUN ACREAGE,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,000,000"
2016,YEAR - NOV FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,000,000"
2016,YEAR - OCT FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,000,000"
2016,YEAR - SEP FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,000,000"
2015,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,600,000"
2015,YEAR - AUG FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,750,000"
2015,YEAR - JUN ACREAGE,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,750,000"
2015,YEAR - NOV FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,750,000"
2015,YEAR - OCT FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,750,000"
2015,YEAR - SEP FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,750,000"
2014,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,550,000"
2014,YEAR - AUG FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,000,000"
2014,YEAR - JUN ACREAGE,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,000,000"
2014,YEAR - NOV FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,800,000"
2014,YEAR - OCT FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,800,000"
2014,YEAR - SEP FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,000,000"
2013,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,140,000"
2013,YEAR - AUG FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,200,000"
2013,YEAR - NOV FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,100,000"
2013,YEAR - SEP FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,200,000"
2012,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,330,000"
2012,YEAR - AUG FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,250,000"
2012,YEAR - JUN ACREAGE,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,250,000"
2012,YEAR - NOV FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,250,000"
2012,YEAR - OCT FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,250,000"
2012,YEAR - SEP FORECAST,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","8,250,000"
2011,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,700,000"
2010,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,300,000"
2009,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,150,000"
2008,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,200,000"
2007,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,850,000"
2006,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,850,000"
2005,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,850,000"
2004,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","7,050,000"
2003,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,650,000"
2002,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,700,000"
2001,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,200,000"
2000,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,650,000"
1999,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,600,000"
1998,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,750,000"
1997,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,450,000"
1996,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,950,000"
1995,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,150,000"
1994,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,450,000"
1993,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,600,000"
1992,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,500,000"
1991,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,000,000"
1990,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,150,000"
1989,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","5,600,000"
1988,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,700,000"
1987,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,800,000"
1986,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","5,600,000"
1985,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,300,000"
1984,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,440,000"
1983,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,370,000"
1982,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,500,000"
1981,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,770,000"
1980,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,290,000"
1979,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,060,000"
1978,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,190,000"
1977,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,000,000"
1976,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","5,600,000"
1975,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","5,820,000"
1974,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","5,900,000"
1973,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","5,520,000"
1972,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,899,000"
1971,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","5,725,000"
1970,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,521,000"
1969,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,022,000"
1968,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,548,000"
1967,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,943,000"
1966,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,494,000"
1965,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,280,000"
1964,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,458,000"
1963,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","5,124,000"
1962,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,575,000"
1961,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","5,027,000"
1960,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","5,845,000"
1959,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","6,019,000"
1958,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,841,000"
1957,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,992,000"
1956,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","5,035,000"
1955,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","5,059,000"
1954,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,655,000"
1953,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,740,000"
1952,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,419,000"
1951,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,367,000"
1950,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","3,889,000"
1949,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,830,000"
1948,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,387,000"
1947,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,187,000"
1946,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,323,000"
1945,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,522,000"
1944,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,553,000"
1943,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","4,102,000"
1942,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","3,691,000"
1941,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","3,440,000"
1940,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","3,296,000"
1939,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","3,503,000"
1938,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","3,360,000"
1937,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","3,497,000"
1936,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","2,613,000"
1935,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","3,086,000"
1934,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","1,790,000"
1933,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","3,228,000"
1932,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","3,454,000"
1931,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","3,085,000"
1930,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","3,006,000"
1929,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","2,863,000"
1928,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","2,694,000"
1927,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","2,470,000"
1926,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","2,757,000"
1925,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","2,741,000"
1924,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","2,658,000"
1923,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","2,952,000"
1922,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","2,362,000"
1921,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","2,870,000"
1920,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","2,730,000"
1919,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","2,381,000"
1918,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","3,010,000"
1917,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","3,230,000"
1916,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","2,860,000"
1915,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","3,090,000"
1914,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","3,025,000"
1913,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","2,720,000"
1912,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","2,610,000"
1911,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","2,430,000"
1910,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","2,190,000"
1909,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","2,067,000"
1908,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","2,010,000"
1907,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","1,950,000"
1906,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","1,990,000"
1905,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","1,940,000"
1904,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","1,950,000"
1903,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","1,790,000"
1902,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","1,800,000"
1901,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","1,610,000"
1900,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","1,480,000"
1899,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","1,442,000"
1898,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","1,410,000"
1897,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","1,320,000"
1896,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","1,405,000"
1895,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","1,360,000"
1894,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","1,100,000"
1893,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","1,035,000"
1892,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","905,000"
1891,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","935,000"
1890,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","965,000"
1889,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","925,000"
1888,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","870,000"
1887,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","820,000"
1886,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","750,000"
1885,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","720,000"
1884,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","660,000"
1883,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","645,000"
1882,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","750,000"
1881,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","560,000"
1880,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","495,000"
1879,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","439,000"
1878,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","405,000"
1877,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","410,000"
1876,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","350,000"
1875,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","350,000"
1874,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","295,000"
1873,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","240,000"
1872,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","245,000"
1871,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","225,000"
1870,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","190,000"
1869,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","156,000"
1868,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","150,000"
1867,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","130,000"
1866,YEAR,,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED","120,000"